ProbeSetID,gene_short_name,Control_rep1,Control_rep2,Control_rep3,RBP2_rep1,RBP2_rep2,RBP2_rep3
XLOC_015507,RTP4,0.58618,1.42259,1.38265,13.7402,16.2216,13.7895
XLOC_015508,LOC100131635,0,0,0,0,0,0
XLOC_015509,LPP,2.04781,1.69856,1.0095,3.3192,3.32936,4.4729
XLOC_015510,FLJ42393,0,0,0,0.0282855,0.0276947,0.0322343
XLOC_015511,TPRG1,0.0597383,0.0598029,0,0.135662,0.0830443,0.173935
XLOC_015512,TP63,0.368134,0.462091,0.311192,0.28265,0.18229,1.30228
XLOC_015513,MIR944,0,0,0,0,0,0
XLOC_015514,CLDN16,0,0.022412,0,0.0190656,0.0186722,0
XLOC_015515,IL1RAP,1.57793,1.62826,1.54925,4.06561,4.08676,4.47439
XLOC_015516,SNAR-I,0,0,0,0,0,0
XLOC_015517,OSTN,0,0,0,0,0,0
XLOC_015518,CCDC50,3.07602,2.78569,2.78727,3.22421,2.94188,3.23918
XLOC_015519,PYDC2,0,0,0,0,0,0
XLOC_015520,HRASLS,0,0,0,0,0,0
XLOC_015521,MGC2889,0,0,0,0,0,0
XLOC_015522,OPA1,19.3622,15.3762,10.9096,16.9742,17.6697,20.2799
XLOC_015523,HES1,63.7889,61.7372,59.4386,58.0084,55.1886,49.5495
XLOC_015524,FLJ34208,0.0737358,0.29482,0.487044,0.062704,0.122669,0.142892
XLOC_015525,TMEM44-AS1,2.83286,3.97712,3.31971,2.00337,1.20225,1.58031
XLOC_015526,FAM43A,3.01315,3.10964,3.34483,2.54588,3.15557,1.90405
XLOC_015527,LOC100507391,0.0399406,0,0,0,0.0333136,0
XLOC_015528,SDHAP2,3.81954,3.88765,3.5597,6.80897,6.3403,5.3525
XLOC_015529,MIR570,0,0,0,0,0,0
XLOC_015530,MUC20,3.46297,3.73249,3.62502,3.63572,3.70564,1.94338
XLOC_015531,LOC401109,2.31476,2.44215,2.73463,0.752219,0.701284,0.449009
XLOC_015532,SLC51A,1.79693,1.68822,2.39837,3.10406,3.49105,1.31981
XLOC_015533,FBXO45,10.2554,7.81061,5.17547,10.8261,11.6347,12.2055
XLOC_015534,LRRC33,0.0910167,0.0303629,0.0668335,0.0258295,0.0758752,0.0294357
XLOC_015535,PIGX,13.1755,10.5693,9.79028,18.1914,17.7744,14.7059
XLOC_015536,PAK2,42.7175,37.9602,33.0417,40.9556,40.8961,50.1039
XLOC_015537,SENP5,6.16571,5.20142,4.72756,10.552,10.6857,10.1844
XLOC_015538,LOC152217,56.9418,58.951,57.9627,38.8818,36.0425,41.5259
XLOC_015539,MFI2-AS1,1.98668,2.43605,2.78302,2.37954,2.17653,2.09892
XLOC_015540,DLG1-AS1,0,0.0456,0.150596,0.193962,0.189854,0
XLOC_015541,FYTTD1,39.608,34.555,26.9196,44.1364,42.6533,54.164
